Model,Family,Interpretability,Search Type,Candidates Searched,Estimated CV Fits,Search Time (s),Best CV RMSE,Best CV MAE,Best CV R2,Train RMSE,Test RMSE,Train MAE,Test MAE,Train MedianAE,Test MedianAE,Train R2,Test R2,Lasso Applied,Lasso Alpha,Lasso Threshold,Lasso Selected Features,Lasso Total Features,Best Params,Model Checkpoint
Polynomial,Non-Linear Linear,Medium,grid,9,27,0.44518429999970976,176308111.6618822,43400929.558187805,-0.4036615560654959,125499016.06298381,116054738.13964035,41266455.09859031,40263478.63174223,14259244.966565683,14217456.219641339,0.4122010036797322,0.47205205257198646,False,,,,,"{'preprocessor__num__poly__degree': 2, 'regressor__alpha': 10.0}",Dataset\comparison_outputs\modeling_outputs\fast_search\best_model_checkpoints\polynomial_best_estimator.joblib
Ridge,Linear,High,grid,6,18,4.080828800000745,164900324.35396484,48779208.04360982,-0.08169050358315078,145554811.44560647,133179285.05862187,49716672.462994635,49156057.12984508,21287172.50438284,20540310.747394003,0.20931894980247612,0.3047536587125651,False,,,,,{'regressor__alpha': 1000.0},Dataset\comparison_outputs\modeling_outputs\fast_search\best_model_checkpoints\ridge_best_estimator.joblib
Huber,Linear (Robust),High,grid,12,36,1.6430515000001833,156584902.69344866,42610081.23991253,0.07901405834565951,154083325.88701576,147306795.2979639,41838138.436605446,41794937.00888674,6437084.930814645,5997383.589825683,0.11394743596519108,0.1494283240680654,False,,,,,"{'regressor__alpha': 0.0001, 'regressor__epsilon': 1.75}",Dataset\comparison_outputs\modeling_outputs\fast_search\best_model_checkpoints\huber_best_estimator.joblib
ElasticNet,Linear,High,grid,20,60,1.8167176999995718,153822017.92665517,59796510.672129154,0.11177664121972768,153597237.27384934,147716945.32838833,60475703.485910885,60870629.96924494,33132278.43398606,32908331.24667646,0.11952910019923435,0.14468519364163956,False,,,,,"{'regressor__alpha': 10.0, 'regressor__l1_ratio': 0.7}",Dataset\comparison_outputs\modeling_outputs\fast_search\best_model_checkpoints\elasticnet_best_estimator.joblib
